"X","Y"
332342.860,7390546.190
332343.610,7390546.580
332552.600,7390546.490
332553.740,7390546.270
332141.250,7390547.040
332303.850,7390547.070
332303.730,7390546.870
332303.820,7390546.720
332304.630,7390546.990
332305.720,7390546.950
332317.370,7390546.750
332341.960,7390546.670
332342.660,7390546.890
332342.920,7390547.060
332343.970,7390546.780
332344.440,7390546.640
332344.980,7390546.900
332347.530,7390546.960
332552.340,7390546.980
332553.270,7390546.840
332553.330,7390546.960
332553.730,7390546.940
332079.820,7390547.300
332304.120,7390547.310
332314.950,7390547.180
332316.020,7390547.590
332316.830,7390547.310
332335.960,7390547.310
332343.460,7390547.450
332343.310,7390547.270
332343.920,7390547.400
332345.610,7390547.360
332345.340,7390547.120
332346.550,7390547.520
332348.310,7390547.150
332349.320,7390547.510
332349.290,7390547.600
332552.270,7390547.480
332552.840,7390547.220
332553.070,7390547.260
332552.800,7390547.500
332553.170,7390547.280
332080.090,7390547.660
332141.280,7390547.950
332141.360,7390547.730
332304.550,7390547.790
332305.300,7390547.710
332314.970,7390548.020
332316.180,7390548.060
332316.400,7390547.810
332336.280,7390547.630
332349.790,7390547.740
332551.920,7390547.960
332552.570,7390547.950
332564.560,7390547.740
332564.580,7390548.110
332079.170,7390548.410
332080.860,7390548.300
332141.370,7390548.540
332305.170,7390548.230
332314.410,7390548.160
332315.540,7390548.550
332335.770,7390548.320
332342.470,7390548.540
332342.690,7390548.280
332343.190,7390548.120
332350.660,7390548.120
332552.540,7390548.340
332552.580,7390548.450
332553.060,7390548.500
332552.940,7390548.470
332080.180,7390548.810
332079.980,7390548.660
332081.500,7390548.680
332141.450,7390548.640
332141.400,7390548.930
332304.170,7390549.040
332311.840,7390548.950
332316.200,7390548.910
332335.830,7390549.100
332347.830,7390548.870
332349.340,7390548.660
332349.890,7390548.750
332350.240,7390548.940
332352.900,7390548.930
332550.900,7390548.880
332551.220,7390549.040
332552.110,7390548.880
332551.750,7390548.720
332553.110,7390548.750
332553.690,7390548.900
332564.070,7390548.970
332078.990,7390549.200
332080.600,7390549.140
332081.200,7390549.310
332081.530,7390549.540
332302.590,7390549.490
332304.100,7390549.240
332312.180,7390549.470
332311.860,7390549.250
332312.510,7390549.590
332312.900,7390549.550
332314.930,7390549.280
332335.440,7390549.280
332341.190,7390549.390
332353.210,7390549.150
332354.110,7390549.370
332354.500,7390549.580
332550.900,7390549.530
332551.710,7390549.160
332551.720,7390549.460
332552.460,7390549.590
332552.280,7390549.390
332563.120,7390549.570
332563.690,7390549.440
332078.750,7390550.050
332079.620,7390549.760
332080.010,7390549.730
332079.850,7390549.640
332079.800,7390549.750
332080.210,7390550.030
332081.590,7390549.790
332141.330,7390550.000
332303.190,7390549.940
332312.780,7390549.920
332335.370,7390549.850
332335.850,7390549.640
332340.740,7390549.760
332341.410,7390549.620
332349.920,7390549.670
332350.270,7390549.870
332355.980,7390550.080
332551.650,7390549.710
332551.270,7390549.740
332551.640,7390550.090
332551.730,7390549.900
332552.870,7390549.850
332553.150,7390549.950
332553.370,7390550.040
332562.570,7390549.840
332563.430,7390549.710
332078.480,7390550.220
332078.590,7390550.190
332079.140,7390550.600
332079.300,7390550.520
332079.460,7390550.540
332079.310,7390550.430
332079.800,7390550.330
332302.950,7390550.440
332314.270,7390550.270
332335.480,7390550.250
332353.670,7390550.320
332356.310,7390550.270
332357.030,7390550.550
332550.720,7390550.310
332078.430,7390551.060
332079.140,7390550.680
332079.420,7390550.720
332079.570,7390551.030
332079.410,7390550.810
332079.280,7390550.890
332079.720,7390550.960
332079.920,7390550.920
332079.800,7390550.810
332313.000,7390550.970
332313.570,7390551.010
332313.270,7390550.830
332314.160,7390551.040
332334.990,7390550.880
332339.970,7390550.710
332340.580,7390550.750
332352.110,7390550.650
332352.960,7390550.920
332355.440,7390550.900
332357.060,7390550.670
332357.910,7390550.870
332548.940,7390551.090
332551.530,7390550.730
332077.510,7390551.440
332077.210,7390551.240
332077.740,7390551.530
332078.880,7390551.540
332079.060,7390551.570
332079.490,7390551.440
332141.330,7390551.260
332312.840,7390551.330
332313.810,7390551.420
332314.760,7390551.480
332335.110,7390551.220
332335.300,7390551.340
332339.310,7390551.490
332353.950,7390551.230
332354.260,7390551.420
332354.770,7390551.500
332355.900,7390551.120
332356.220,7390551.340
332549.320,7390551.340
332550.470,7390551.390
332550.610,7390551.340
332550.240,7390551.170
332550.520,7390551.600
332550.800,7390551.260
332550.780,7390551.310
332077.950,7390551.720
332077.970,7390551.800
332077.950,7390551.790
332078.390,7390552.070
332079.050,7390551.840
332078.950,7390551.840
332078.910,7390551.970
332079.540,7390551.740
332079.280,7390551.860
332079.310,7390551.650
332079.260,7390552.080
332079.470,7390551.840
332079.790,7390552.040
332141.210,7390551.730
332313.450,7390551.780
332313.800,7390552.000
332314.200,7390551.860
332338.580,7390551.990
332355.090,7390551.780
332355.570,7390551.920
332356.100,7390552.090
332357.410,7390551.760
332358.250,7390551.810
332359.990,7390551.660
332360.020,7390551.710
332360.900,7390552.000
332547.710,7390552.110
332550.410,7390551.990
332550.350,7390551.630
332550.390,7390552.100
332553.680,7390552.000
332553.480,7390552.080
332553.500,7390551.700
332555.040,7390551.700
332077.690,7390552.250
332078.670,7390552.330
332078.570,7390552.320
332079.160,7390552.510
332079.100,7390552.530
332078.990,7390552.480
332078.960,7390552.450
332079.430,7390552.400
332141.380,7390552.280
332141.270,7390552.460
332312.070,7390552.610
332311.830,7390552.480
332312.470,7390552.610
332313.430,7390552.520
332335.100,7390552.380
332361.280,7390552.210
332361.250,7390552.190
332548.090,7390552.320
332547.790,7390552.470
332549.990,7390552.290
332549.860,7390552.580
332550.040,7390552.310
332550.370,7390552.360
332077.660,7390552.680
332078.470,7390553.110
332078.540,7390552.680
332078.340,7390552.750
332078.850,7390553.060
332078.810,7390553.070
332078.750,7390553.090
332141.190,7390552.770
332267.270,7390553.050
332267.420,7390553.070
332267.440,7390552.990
332311.890,7390553.100
332312.660,7390553.060
332312.880,7390552.650
332313.250,7390552.880
332313.220,7390553.030
332334.560,7390552.690
332334.990,7390552.760
332337.970,7390552.850
332358.660,7390553.100
332360.990,7390553.080
332547.720,7390552.710
332549.550,7390552.810
332549.560,7390552.900
332549.870,7390552.680
332549.830,7390552.720
332549.970,7390552.830
332549.930,7390552.870
332078.080,7390553.120
332078.420,7390553.210
332078.320,7390553.120
332078.950,7390553.440
332078.840,7390553.550
332139.990,7390553.480
332141.210,7390553.510
332267.510,7390553.210
332268.020,7390553.400
332311.250,7390553.450
332311.880,7390553.590
332312.510,7390553.550
332313.000,7390553.280
332313.280,7390553.510
332334.840,7390553.420
332338.040,7390553.350
332359.020,7390553.340
332359.520,7390553.450
332359.190,7390553.260
332359.890,7390553.540
332361.930,7390553.410
332362.660,7390553.380
332364.040,7390553.300
332364.860,7390553.600
332547.680,7390553.380
332549.180,7390553.360
332549.310,7390553.610
332549.590,7390553.540
332553.420,7390553.230
332553.690,7390553.380
332077.040,7390553.760
332077.340,7390553.800
332077.770,7390553.890
332139.690,7390553.670
332140.250,7390553.650
332141.160,7390553.620
332267.840,7390553.720
332268.290,7390553.680
332313.120,7390553.990
332312.690,7390554.030
332334.740,7390553.920
332336.890,7390553.970
332337.900,7390553.630
332360.620,7390553.820
332363.260,7390553.820
332364.010,7390554.060
332365.250,7390553.750
332366.070,7390554.000
332546.900,7390553.840
332548.720,7390554.050
332077.000,7390554.260
332078.140,7390554.130
332077.830,7390554.160
332078.560,7390554.130
332078.440,7390554.500
332140.960,7390554.520
332141.080,7390554.450
332334.580,7390554.470
332337.130,7390554.330
332363.390,7390554.130
332366.390,7390554.190
332548.650,7390554.350
332548.290,7390554.230
332549.100,7390554.230
332548.810,7390554.320
332549.040,7390554.580
332549.010,7390554.300
332554.220,7390554.500
332076.630,7390554.840
332078.140,7390554.980
332078.450,7390554.620
332141.060,7390554.760
332310.430,7390554.930
332336.080,7390554.870
332336.660,7390554.770
332362.880,7390554.750
332363.740,7390555.070
332365.920,7390554.980
332367.870,7390554.790
332548.580,7390554.660
332548.730,7390554.990
332548.750,7390554.630
332554.240,7390554.810
332076.580,7390555.430
332077.500,7390555.250
332077.460,7390555.190
332077.720,7390555.230
332140.940,7390555.120
332140.720,7390555.260
332310.530,7390555.290
332311.220,7390555.460
332311.410,7390555.320
332311.750,7390555.540
332312.200,7390555.500
332334.410,7390555.510
332335.310,7390555.610
332335.900,7390555.380
332336.020,7390555.130
332366.220,7390555.160
332367.140,7390555.510
332366.850,7390555.320
332548.030,7390555.500
332548.430,7390555.250
332548.400,7390555.470
332548.700,7390555.280
332548.800,7390555.180
332553.850,7390555.180
332554.260,7390555.590
332077.300,7390555.920
332077.260,7390555.660
332077.650,7390555.940
332077.730,7390556.110
332077.930,7390555.720
332078.450,7390555.820
332140.800,7390555.720
332298.840,7390556.070
332299.940,7390556.040
332310.310,7390555.770
332334.070,7390555.780
332335.390,7390555.820
332365.260,7390555.630
332365.870,7390555.900
332371.080,7390555.950
332548.030,7390556.040
332548.220,7390555.900
332554.110,7390555.880
332553.750,7390555.680
332076.930,7390556.480
332077.540,7390556.510
332077.810,7390556.180
332078.100,7390556.320
332077.770,7390556.350
332078.350,7390556.600
332298.230,7390556.210
332309.660,7390556.260
332309.920,7390556.230
332310.900,7390556.210
332311.760,7390556.180
332334.820,7390556.200
332335.090,7390556.560
