"X","Y"
331624.580,7382841.690
331757.030,7382840.940
331757.500,7382841.410
331757.250,7382841.330
331757.570,7382841.500
331757.740,7382841.710
331757.700,7382841.440
331758.060,7382841.710
331758.480,7382841.070
331758.240,7382841.030
331758.590,7382841.450
331758.850,7382841.750
331759.060,7382841.440
331759.330,7382841.010
331759.830,7382841.380
331793.780,7382841.870
331793.770,7382841.870
331794.400,7382841.010
331794.490,7382841.750
331794.380,7382841.490
331794.150,7382841.310
331794.370,7382841.120
331794.690,7382841.190
331794.830,7382841.520
331794.760,7382841.440
331794.760,7382841.420
331794.940,7382841.720
331794.750,7382841.370
331794.660,7382841.710
331795.200,7382841.850
331795.240,7382841.710
331795.660,7382841.770
331795.970,7382841.010
331884.370,7382841.030
331885.160,7382841.490
331892.530,7382840.950
331892.910,7382841.200
331892.660,7382841.120
331967.560,7382841.660
331967.820,7382841.650
331968.410,7382841.520
331968.460,7382841.400
331968.580,7382841.680
331968.850,7382840.980
331969.100,7382841.330
332001.090,7382841.030
332001.840,7382840.980
332004.610,7382841.010
332005.230,7382841.690
332009.840,7382841.150
332009.720,7382841.270
332010.100,7382841.720
332010.080,7382841.260
332010.480,7382841.350
332013.580,7382841.230
332014.010,7382841.400
332013.680,7382841.160
332014.440,7382841.400
332014.910,7382841.490
332015.090,7382841.050
332029.410,7382841.160
332029.630,7382841.550
332029.750,7382841.440
331648.890,7382842.220
331648.690,7382842.110
331649.470,7382842.350
331649.870,7382842.330
331649.730,7382842.140
331650.440,7382842.200
331758.130,7382842.170
331758.980,7382842.030
331759.100,7382842.030
331759.350,7382842.110
331759.980,7382841.940
331793.530,7382842.140
331793.750,7382841.910
331793.690,7382842.150
331793.990,7382842.050
331793.920,7382842.350
331795.520,7382842.200
331795.240,7382842.090
331795.310,7382842.270
331795.450,7382842.190
331795.380,7382841.930
331795.850,7382842.360
331795.600,7382841.990
331796.190,7382842.270
331944.270,7382842.030
331945.690,7382842.280
331945.970,7382841.880
331966.910,7382841.880
331967.910,7382842.000
331967.630,7382842.090
332004.940,7382842.250
332009.250,7382842.140
332009.670,7382842.120
332010.370,7382842.190
332013.390,7382841.920
332014.700,7382841.900
332015.220,7382842.340
332029.920,7382841.920
331624.390,7382842.540
331624.710,7382842.480
331624.770,7382842.540
331649.300,7382842.410
331649.980,7382842.390
331759.510,7382842.410
331759.900,7382842.410
331792.050,7382842.570
331792.200,7382842.820
331793.060,7382842.670
331792.930,7382842.530
331793.050,7382842.500
331793.470,7382842.420
331793.150,7382842.850
331793.590,7382842.480
331794.050,7382842.670
331793.780,7382842.730
331795.550,7382842.410
331795.820,7382842.560
331795.770,7382842.460
331894.340,7382842.720
331895.640,7382842.790
331944.590,7382842.390
331966.220,7382842.600
332005.080,7382842.590
332008.390,7382842.800
332009.680,7382842.550
332010.090,7382842.810
332010.840,7382842.840
332029.740,7382842.490
332029.770,7382842.810
332029.940,7382842.760
332030.240,7382842.750
331625.180,7382842.930
331759.920,7382843.350
331760.330,7382843.020
331760.920,7382843.010
331792.180,7382843.080
331792.260,7382843.040
331792.440,7382842.990
331792.710,7382843.130
331793.010,7382843.360
331793.140,7382842.960
331795.750,7382843.010
331796.230,7382843.130
331796.630,7382843.100
331893.720,7382843.170
331945.660,7382843.050
331965.890,7382843.100
331966.170,7382842.960
331966.660,7382842.980
332009.190,7382843.350
332010.530,7382842.990
332011.010,7382843.230
332014.840,7382843.260
332030.210,7382843.310
331759.140,7382843.390
331759.550,7382843.410
331759.600,7382843.520
331760.600,7382843.790
331760.900,7382843.840
331761.160,7382843.860
331791.990,7382843.420
331792.200,7382843.490
331792.540,7382843.680
331964.480,7382843.840
331964.700,7382843.690
331965.310,7382843.410
331965.190,7382843.640
332005.540,7382843.510
332006.150,7382843.540
332007.160,7382843.540
332009.190,7382843.860
332009.590,7382843.550
332029.940,7382843.620
331624.030,7382844.000
331626.820,7382844.050
331760.540,7382843.980
331760.160,7382844.240
331760.860,7382843.980
331760.750,7382844.030
331761.550,7382844.240
331761.410,7382843.980
331790.540,7382844.180
331790.910,7382844.340
331790.580,7382844.350
331791.340,7382844.230
331791.910,7382843.930
331895.280,7382843.970
331963.970,7382844.170
331964.370,7382844.310
331964.410,7382844.260
332003.990,7382844.050
332005.080,7382844.300
332006.980,7382844.020
332007.330,7382844.210
332007.350,7382844.240
332008.040,7382844.030
332008.320,7382844.140
332008.680,7382844.340
332010.010,7382844.260
332009.590,7382844.060
332010.550,7382844.260
332010.450,7382844.150
332012.210,7382844.130
332012.730,7382844.260
332013.270,7382844.290
332014.450,7382844.120
332014.610,7382844.210
332029.910,7382843.890
331623.800,7382844.840
331623.660,7382844.690
331623.760,7382844.440
331624.250,7382844.660
331625.160,7382844.590
331625.590,7382844.780
331759.510,7382844.480
331759.890,7382844.460
331760.290,7382844.870
331760.520,7382844.590
331760.770,7382844.450
331760.860,7382844.400
331761.300,7382844.530
331762.110,7382844.830
331789.940,7382844.840
331790.050,7382844.800
331789.590,7382844.380
331790.430,7382844.470
331790.570,7382844.400
331790.370,7382844.770
331790.760,7382844.450
331790.910,7382844.660
331803.790,7382844.470
331942.720,7382844.760
331963.130,7382844.860
332004.030,7382844.790
332004.150,7382844.670
332005.340,7382844.410
332005.290,7382844.390
332005.700,7382844.590
332006.020,7382844.790
332008.360,7382844.570
332010.860,7382844.620
332011.470,7382844.780
332012.290,7382844.820
332030.360,7382844.750
331622.860,7382845.290
331624.630,7382844.880
331625.220,7382845.020
331626.300,7382845.230
331760.790,7382845.340
331760.710,7382845.090
331761.360,7382845.150
331761.320,7382844.890
331789.910,7382845.140
331789.810,7382845.070
331789.970,7382845.230
331790.080,7382844.920
331790.170,7382845.120
331790.420,7382845.010
331962.160,7382845.310
331963.070,7382845.200
331963.250,7382845.170
332003.930,7382845.170
332003.650,7382844.940
332004.500,7382845.080
332004.580,7382845.270
332004.830,7382844.890
332004.690,7382845.060
332005.740,7382844.980
332006.540,7382844.990
332006.090,7382845.190
332006.590,7382845.280
332008.210,7382845.130
332011.070,7382845.040
332013.430,7382845.340
332014.470,7382845.230
332014.470,7382845.210
332014.630,7382845.310
332014.600,7382845.280
332030.480,7382845.080
332030.560,7382844.890
332030.540,7382844.900
331626.020,7382845.380
331760.510,7382845.780
331760.420,7382845.800
331760.850,7382845.780
331761.260,7382845.750
331761.950,7382845.850
331762.520,7382845.410
331762.510,7382845.840
331762.730,7382845.830
331788.870,7382845.650
331789.060,7382845.600
331789.020,7382845.620
331789.320,7382845.540
331789.240,7382845.580
331789.400,7382845.780
331789.650,7382845.450
331789.970,7382845.660
331804.580,7382845.400
331896.200,7382845.740
331961.970,7382845.560
331962.280,7382845.790
331962.730,7382845.450
332003.840,7382845.440
332004.300,7382845.730
332004.560,7382845.650
332004.230,7382845.410
332005.700,7382845.850
332006.110,7382845.680
332007.530,7382845.590
332008.150,7382845.770
332009.140,7382845.550
332010.690,7382845.800
332011.380,7382845.460
332011.810,7382845.430
332012.130,7382845.440
332012.950,7382845.650
332012.740,7382845.490
332030.530,7382845.410
332030.610,7382845.800
331614.060,7382846.080
331622.250,7382845.880
331622.940,7382846.020
331760.640,7382846.130
331760.970,7382845.960
331760.930,7382846.000
331760.610,7382846.040
331761.640,7382846.340
331762.220,7382846.030
331762.370,7382845.990
331762.920,7382846.210
331763.110,7382846.280
331763.170,7382845.940
331785.900,7382846.040
331785.760,7382846.040
331786.080,7382846.010
331788.040,7382846.330
331788.560,7382846.200
331788.310,7382846.270
331788.610,7382845.960
331789.170,7382845.900
331802.940,7382846.370
331803.380,7382846.110
331896.330,7382846.090
331896.360,7382846.190
331896.690,7382846.370
331961.450,7382846.360
331961.440,7382846.030
331962.220,7382845.910
332004.060,7382845.890
332006.010,7382845.940
332006.220,7382846.170
332008.000,7382846.010
332008.410,7382846.120
332008.160,7382845.970
332009.290,7382845.890
332009.900,7382846.070
332011.030,7382846.200
332011.080,7382846.070
332011.940,7382845.960
332011.960,7382845.970
332012.500,7382846.280
332012.130,7382846.050
332013.370,7382846.300
332014.040,7382846.240
332013.990,7382846.200
332030.440,7382846.360
332030.860,7382846.320
332030.610,7382846.040
331622.380,7382846.600
